,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
00001-00015.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00002-00064.roi,227.60292754758706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040504023439373826,0.0,0.005078578040153524,0.000405040234393738,0.000405040234393738,0.0,0.0,0.0,0.0
00003-00266.roi,169.3033273951619,59.632373770748885,43.92121486810689,28.78697559875702,14.27079794411847,15.151734425138814,13.56041682701176,16.504251906783796,16.08696975159786,10.556684019941263,15.385603045138797,16.76251921468144,16.447123618522344,18.75982763849256,0.031085486042813013,7.775345808429907,7.457436597557065,8.958942962218812,7.950558943890753,3.4216223819903813,8.333435299711919,8.882705201302002,0.0,0.0,0.0
00004-00208.roi,136.49658112413138,43.24900635565189,53.90856731042264,49.246608638414315,48.42678365511514,55.763530039678706,43.73140411504777,47.76618313488195,44.43263982996045,46.70845763058135,49.05314617144987,48.83755274096884,49.44342294190945,60.70783379736736,0.019917245895101646,43.91363125534428,0.40666965420843854,4.25240069921316,3.3891143072422163,4.205424835194505,0.6071483565459221,1.601910089421771,0.0,0.0,0.0
00005-00581.roi,135.66966398133556,71.01113305771544,43.963997446364885,27.649286560204406,18.62171588495131,11.075570068449686,9.385455336711244,10.985580505148278,10.570196180960957,8.346750379191915,8.208404186273105,8.184099447445728,7.903457964542315,8.635047228186382,0.022704909410520564,8.770199110113845,0.10938248223415384,8.569404052691862,8.51320522865312,0.16189769721691138,0.6772716456281132,9.04418445261093,0.0,0.0,0.0
00006-00165.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023272908175155002,0.0,0.0,8.067940653372448e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00007-00065.roi,0.008004156590273252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013625571186270536,0.001362557118627054,0.0001711425333751501,0.00013823060438117562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00008-00128.roi,0.0,0.0,0.03528698567142365,0.0002945819081459963,0.0,0.0007109242877241162,0.0,0.0,0.018613649448207124,0.0,0.0,0.0,0.0,0.00010212171458125164,0.053162214147143325,0.038845530319616156,0.0,0.08454108115774052,0.045459881497978,0.0002945819081459963,0.0572627962412682,0.0,0.0,0.0,0.0
00009-00025.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010-00023.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011-00688.roi,125.68525404229344,73.75899724158897,38.95034999937058,30.377024678776415,17.18882179504504,23.03045560053252,23.927302476706284,22.43576894112193,24.728135756900485,19.070641486869256,18.027112294819812,17.794867546172902,18.01900909539726,15.503003536160465,0.01434094420222482,16.22916689152273,14.59118870140855,15.188059315229673,14.436997635376047,14.589729176649001,14.860712460876748,13.015239559425568,0.0,0.0,0.0
00012-00232.roi,26.122875667578125,32.12301289932056,0.008039867812480204,0.0,0.0,0.012172729141432224,0.01867408338710925,0.0021482961062863322,0.00063517271447007,0.011303245951962328,0.015083230920788214,0.002015614213628174,0.0011997712566766338,0.009488054394685563,0.0,0.011339950810263767,0.0,0.009013811510574515,0.0,0.007833797114630456,0.010374494698589668,0.0,0.0,0.0,0.0
00013-00173.roi,70.30762132000173,0.0,0.005351319134296195,9.851477548245989e-05,0.0,0.0,0.001102051367888415,0.0,3.4151787315600456e-05,0.002407698868025692,0.00043477831940772594,0.0,0.00013266654209371023,0.006442861326114363,0.0007723556233530134,0.0017483080794520683,0.00023118126581529546,0.00017075879854900198,0.00030736603753025267,0.0004387188644633655,0.00013266654209371023,0.00013266654209371023,0.0,0.0,0.0
00014-00159.roi,242.07503310140322,0.1100847375284729,0.042454985336789555,0.07380193548575427,0.07765246951649812,0.007472209739842581,0.009876435653450656,0.08853637136810874,0.08853637136810874,0.031236052510966977,0.08478728930203705,0.005299205581377316,0.00017695476979457083,0.0002382990182901922,0.12749237477007677,0.06077806074145398,0.10965768918506794,0.12298356682198967,0.0015925929281511407,0.008734486146908417,0.08152895903062782,0.00017695476979457083,0.0,0.0,0.0
00015-00253.roi,211.25205359170266,41.79384830599052,24.044039365157442,4.182705334943263,0.9736066098593633,8.889253475522912,0.32448056714668083,3.9393781473868,2.547619808288778,8.573384242006428,7.732640336275148,2.9554686129129797,7.121670073128618,6.176873784299792,0.0010807197878166623,7.219385835244618,1.0909762778814525,7.32149138789327,2.0396494715147737,2.6502668951713986,2.854649901514684,2.4361351648428204,0.0,0.0,0.0
00016-00076.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017-00214.roi,151.82175189690386,30.187483223882303,29.182965777105796,11.562627857463177,3.1430098907205775,4.471297935095671,3.7890782027893835,0.7693928774874585,0.2943127307161885,1.2081492324963152,11.34006748080722,0.5611804809114109,11.155762286604098,0.002645486412309788,0.0,0.0013474961719472194,9.091332582325736e-05,0.00046086757434801983,0.0004239621007262856,0.00027724058226035077,0.0002934430255885432,0.000253837182286467,0.0,0.0,0.0
00018-00279.roi,110.55876042905432,48.88354781926654,28.675037107412287,26.39957356250569,9.179554637148907,14.287460535875052,11.878602856426195,0.9451050194049385,0.43251602009959433,1.6333943962302424,12.306166254703156,0.7633475819984742,12.1870531375767,13.914421458249207,0.010869231196484185,14.025576801420705,10.73130335856647,13.31358226818365,12.145517260498368,12.499407864866756,3.622565016604143,11.41635495345881,0.0,0.0,0.0
00019-00106.roi,91.76277359513901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016264118881594253,0.0,0.0,0.0,0.0,0.00528583546225524,0.0,0.0,0.0,0.0
00020-00150.roi,127.1223753762713,79.83789858556152,74.94612498329462,46.52405199786426,27.557458941177515,42.07018810071591,44.778189177037866,0.0,0.05456964536747858,0.042182383914772435,0.0,0.01542889209406416,0.0,0.0,0.07869408504756918,0.04989922946440485,0.09829204626275674,0.09822967978334077,0.0016191705183733476,0.011610051140287087,0.10680528667192281,0.0,0.0,0.0,0.0
00021-00066.roi,0.0003157249717891525,0.0,0.09982985221976336,0.0,0.0,0.0,0.0,0.0,0.1299208879716906,0.0,0.0,0.0,0.0,0.14054625697990386,0.07290821847158949,0.14274413584855028,0.0,0.10909517383448934,0.07290821847158949,0.0,0.0,0.0,0.0,0.0,0.0
00022-00163.roi,28.24039385246737,0.17184627774631506,16.456782632307593,14.521392905598077,3.516145940504819,7.8630333447348235,21.729931862289448,21.375105803500222,14.327927140169164,22.880948165873736,22.73290537705111,21.863668959769754,22.825453055102184,14.701100552417547,0.0013809230092928632,16.152879057096733,7.134047679115668,24.757291430762084,23.015766925565465,22.504527718070083,15.769446202456018,18.695439048448254,0.0,0.0,0.0
00023-00052.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043134802638854214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00024-00045.roi,52.73587156327977,102.33868144623838,109.41735621069317,49.09580898490867,10.2970056030232,23.967375000826337,81.67984849020017,84.82907627262443,44.26944047742489,94.77374235183741,89.88006704073246,86.83912039012054,91.03605287068456,106.3590465963225,0.0,59.421877074337,26.872388412157758,106.61598437795081,100.53026501076685,96.59451945441685,67.3276789995838,84.92973898365013,0.0,0.0,0.0
00025-00120.roi,210.90706434135078,203.7956121876128,197.0080313624647,189.45811814224157,148.55328406407583,170.4007178604409,152.3846297872172,171.24684985929244,73.56144386922479,158.13008447269806,164.0031476819016,168.29077568938644,169.3516707773215,179.25109683224574,0.00017510168071692084,102.89484409006252,60.45243641244858,199.0753795977348,190.42259646549314,198.8374744897423,114.28380503094047,189.92249112727316,0.0,0.0,0.0
00026-00025.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027-00216.roi,25.955478557989487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008502647927797287,0.00024941925162363357,0.0,0.0,8.313983234285056e-05,0.0,0.0,0.0,0.0,0.0,0.0
00028-00044.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00029-00192.roi,75.32568023684968,86.24554591610502,95.92821886815643,79.86963803290337,85.94113280066681,80.62110050635816,78.30456670274417,81.70410764031132,78.9592862124545,65.92380417879903,87.60421793184923,75.12364721586951,70.74684220439725,81.08692497817935,0.004313888459331978,0.03697131683098419,0.002240697438202637,0.0,0.013068776403409109,0.0,0.0,0.007738491596772954,0.0,0.0,0.0
00030-00134.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004769228598401438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005502959491587928,0.0,0.0,0.0,0.0,0.0,0.001375739872896982,0.0,0.0,0.0
00031-00150.roi,185.29735959723507,215.63210110271345,213.39684155338145,176.48380460813846,174.164903613108,169.42153861325346,169.76370055235057,174.13639202568052,163.31831887036844,133.01972969687688,184.4317078778094,175.16208157883236,180.53569917206346,214.35808585714193,0.08826955934177208,165.38767165844834,177.61023242088416,208.48895388702968,184.9669230116466,22.171955031672372,199.3413246229642,166.4527210005748,0.0,0.0,0.0
00032-00224.roi,0.0,0.0,0.0,0.0,0.0004883380956061434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011785224650057145,0.0,0.0,0.0,0.0
00033-00190.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019184630500018705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00034-00118.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00035-00448.roi,124.3365005438671,64.85320368385977,31.23338764380633,29.479967831346517,2.710387539169518,0.008529251562920514,0.008373610824358101,0.03156879670319267,0.029419480346177616,0.013023447489964332,0.028336221503296503,0.009218321279198905,0.0011865087750460841,0.0010613666018077787,0.03014453523547644,0.02861699132250273,0.029616588289594226,0.04622224751218191,0.016852792752550614,0.005446053806701453,0.037738354464459396,0.009815870342702395,0.0,0.0,0.0
00036-00111.roi,0.0,0.0,0.0,0.0,0.15968155663578382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00037-00133.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00038-00212.roi,0.06907648524621497,0.05943250419520365,0.06651790834565345,0.00878300307020036,0.0,0.007284624984776878,0.0,0.03234251596232093,0.0,0.0,0.0,0.0,0.0,0.0023910265729107346,0.0,0.00020722224708585554,0.00020722224708585548,0.0,0.00020722224708585548,0.0,0.0,0.0,0.0,0.0,0.0
00039-00216.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004633198816588556,0.0,0.0,0.0,0.0,0.0026883935999400667,0.0,0.0,0.0009628653574186408,0.002859999588156316,0.0,0.0,0.0,0.0,0.0
00040-00148.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00041-00155.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00042-00194.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00043-00214.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000957002825675879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00044-00222.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00045-00193.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00046-00299.roi,0.0005450180553577235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00047-00511.roi,114.64342290329692,47.855331495391994,52.414370191565425,42.89278739350381,54.813818818882744,57.464567403550376,16.480270315551365,41.66201744078608,35.2556415959121,41.33765925817335,34.712719612584316,33.34715595537479,6.327038736510148,0.16304277668104153,0.004266635018197089,0.025857800320564884,0.00016002091579509262,0.0702884992843042,0.0011077689552685995,0.0006197494947623458,0.00573776633582809,0.005454856594998322,0.0,0.0,0.0
00048-00207.roi,0.0,0.0,0.005227019665913736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00049-00351.roi,0.0,0.0,0.0,0.0,0.0009718009244102252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024751397940187313,0.0006550254854363174,0.0,0.000402679980233078,0.0001395957011131187,0.0,0.0,0.0,0.0,0.0,0.0
00050-00238.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00051-00335.roi,134.8830683618573,68.14223084751623,29.438207519416128,6.644673391582497,55.02348619895052,33.6672377340933,86.53126250997602,141.68952481889391,99.12969804811628,43.71804385738012,33.867043237911666,98.00516692601157,28.632620737043453,178.91719845187004,0.03127437258826033,95.74757631305029,4.22316346922462,71.82301278631373,35.96806019572831,23.16875591453295,4.2689940789175225,34.42928520403102,0.0,0.0,0.0
00052-00283.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00053-00585.roi,115.89330255697828,2.037063810429268,9.65316460694161,9.264893137571175,5.669230037296285,10.097273904425611,6.120147056302177,0.21961440311303396,0.2074179648326476,0.9389260164802372,0.6293129615810946,0.4344062229463736,0.3743725159082535,1.0749960625818693,0.0004766684721125049,0.6254576043619167,0.0007984909461646053,0.4010977036118348,0.017235634086703765,0.0009233665649511951,0.605490579007165,0.04403168873164531,0.0,0.0,0.0
00054-00305.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00055-00347.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001247751551698856,0.0,0.0,0.0,0.0,0.0,0.0
00056-00416.roi,492.26574720074075,175.52378225609456,0.14807566961909369,26.237629756384447,0.4831063061248127,0.0,252.19391615388915,363.43559691483955,435.20657757671944,286.6191126052508,80.61753090638577,276.4014822911992,130.3668855581225,374.14187727798947,0.004517465265603835,180.11342284761886,43.94070679442135,284.63604269858456,199.48192274990373,28.295453013151477,0.0,21.315258580069617,0.0,0.0,0.0
00057-00328.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013127233182367805,0.0,0.0,0.0,0.0,0.0,0.0
00058-00746.roi,42.73315976791923,9.441870066338756,0.036816994277341135,0.001178904947162471,5.6933596569991756e-05,0.0,0.009908715612713226,5.693359656999171e-05,0.0,0.0013178226502015267,0.0007621508169212284,0.00024747135208700303,0.0012980856014137652,0.00240563389909453,0.0001138671827673911,0.0018522392537193317,0.0023843790335252354,0.002905889705949153,0.002527091304449547,0.003644507621148454,0.000247471352087003,0.0005321393280218994,0.0,0.0,0.0
00059-00624.roi,145.59935713325822,76.48648673323392,63.317616436216156,51.07929221326258,22.48609680583156,34.29329286132125,31.404024235204368,21.37232290854474,15.404737088167998,23.625028764381696,22.820382276790134,21.716941302286514,21.70630130793978,24.722671886913005,0.0026355067307296527,15.825558100752701,8.506837654560295,16.626674926578865,10.809530485951736,11.20838618005826,1.0034362577909643,10.892971201379451,0.0,0.0,0.0
00060-00374.roi,0.0,0.0016403480043723495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004442610151727809,0.0,0.0,0.0
00061-00345.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00062-00339.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00063-00577.roi,204.2216325328687,20.746505348144723,18.704789934290165,19.538317456659097,12.498875667128042,16.79375073353185,18.44980499539072,18.711468571392118,21.77896950746356,17.429179159013653,17.643767035470482,16.871692383593153,7.944829521930572,10.794893550170142,4.475496326583792e-05,5.24475829634429,0.0004595989275520896,0.0008279666811556269,0.00025820167285761056,0.000561158344537408,0.004129503497518905,0.0008727217747947533,0.0,0.0,0.0
00064-00395.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00065-00424.roi,259.1998117559574,256.4582618654726,0.0,0.0,0.0,0.007583899026187835,0.0,0.0,0.0,0.0011703550014377725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007334216493787248,0.0,0.0,0.0,0.0007334216493787248,0.0,0.0,0.0
00066-00567.roi,34.06611912310987,0.0690720826678459,0.0333367536039434,0.062292725933391184,0.006453897408572206,0.025897638303982055,0.007799790623046541,0.05378926524829542,0.0927706808009105,0.006585851408779503,0.006908396282461421,0.04008979984156879,0.01642941279128832,0.017690302369421214,0.012274431818489275,0.06607820994901384,0.015241866873963296,0.02941640940732612,0.140029744647937,0.01077604786289286,0.006585851408779503,0.10652293474470129,0.0,0.0,0.0
00067-00637.roi,93.61675687989647,65.08618854554221,40.44963566675476,25.65699330798787,7.337619851029993,13.335365419519103,39.43888495345992,30.997438727961054,30.625691250210174,39.97704289780606,22.754524117803964,21.779898230557645,22.729335689229217,26.5368060233121,0.002889036606537863,24.693594863022273,14.41475457588933,23.66456389734039,22.08912873322131,21.968661426362036,23.263267541049615,19.431709605664523,0.0,0.0,0.0
00068-00381.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00069-00395.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00070-00438.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00071-00397.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00072-00408.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00073-00435.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00074-00449.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002283838090836539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00075-00467.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00076-00538.roi,0.052957768797481104,0.0680759082664274,0.0284145129459226,0.0018976714811682303,0.008539534629501147,0.0,0.03973730369064616,0.02372092952639209,0.015181394896890922,0.006148464024143215,0.015181394896890922,0.0,0.0,0.059953865031184175,0.10400521029065406,0.046493021871728483,0.04584781817123822,0.059953865031184175,0.01898939656331038,0.002618786752847789,0.0284145129459226,0.03415813851800459,0.0,0.0,0.0
00077-00524.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00078-00528.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036175300863366686,0.0,0.0005196450424583891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00079-00510.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012260013855346775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00080-00503.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00081-00628.roi,53.674837054205916,51.37724955348634,53.05420431094465,0.012843638055268173,0.0014144570743015396,0.0,0.0,0.0014911628731983115,0.000920470942389071,0.0021508334215244534,0.0,0.006891259249297889,0.006891259249297889,0.003009939498858142,0.004421326989341634,0.008532762893812888,0.013073754548206595,0.01119906269935261,0.011119289312423175,0.004685196703628309,0.012923411366884928,0.018501465373409805,0.0,0.0,0.0
00082-00525.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007646765686976378,0.003168551743635958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00083-01026.roi,140.52906074084396,49.31889946327194,29.96046154469274,18.927536922709535,17.539886680367086,19.311957711346658,13.882876343686283,14.91926755028914,14.47831115474915,18.83508951855256,15.860673826766561,15.080986558795738,15.064598780083744,18.465205423312376,0.00532100658710565,15.11496557807906,14.535532565215057,10.181069268082759,9.763304054781416,10.2370261610198,13.599325950837583,10.352254221844651,0.0,0.0,0.0
00084-00501.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00085-00615.roi,0.0,0.00022305696267650604,0.0,0.0012868661412080284,0.0,0.0,0.0,0.0,0.0006434337330165281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006434337330165279,0.00022305696267650612,0.0,0.0,0.0,0.0,0.0
00086-00805.roi,169.9856755014925,99.81702105315227,109.15702295393565,81.72586034483446,57.20526216335112,56.902744201236224,53.70802394448342,60.31096206365427,62.460589719925316,53.32470316222729,72.64844473843412,54.84563048258728,10.345379325689567,10.578514980438229,0.005971293313123046,12.556344482587317,13.467373968375659,12.312877691456302,11.33452617484062,11.854959283964979,3.5029143898257002,8.052871843292204,0.0,0.0,0.0
00087-00535.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00088-00553.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00089-00706.roi,0.004540002005857154,0.00788130741544726,0.02637126402790777,0.008048375881724032,0.022474480278335367,0.02318031515818421,0.0014492921086272244,0.0,0.0007559711126315749,0.009322241188443433,0.002029845141505107,0.0008645632921296214,0.002505980522514469,0.015904621129289042,0.003784032637656406,0.02776625511004673,0.007831193057827063,0.015566320379911208,0.004097279313310997,0.015349138393341072,0.007497056683491376,0.013118814888185289,0.0,0.0,0.0
00090-00834.roi,114.18808529377252,0.0008250205987989272,0.009735999962180232,3.3887120397829445e-05,0.0006347318217440213,0.04039205195473212,0.0,0.0,0.001956329632772598,0.0194642130994849,0.0058455203882451815,0.0,0.003782320488316601,0.018055297982863375,0.0004939698408406658,0.018299015389082234,0.0016930523953510412,0.004127712013145843,0.0029612130258392755,0.003058964155529125,0.00047181290873400916,0.00013163841316517986,0.0,0.0,0.0
00091-00639.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00092-00605.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00093-00581.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00094-00956.roi,72.98353500615225,18.697248299497776,14.263271303725814,21.457699840726068,11.735610871800102,12.50358046335012,14.080483785219728,12.447617195271357,13.680907113471033,12.69002045964981,11.892131735404188,11.845555215156518,0.011488601758245181,0.011488598594307791,0.003273504869622836,0.0018307803336261505,0.0020410799496392777,0.002703714196205136,0.0031830366011060328,0.004213892587695538,0.0014379614611731756,3.729811823648613e-05,0.0,0.0,0.0
